title,author,year,url,text
Дарога...,Якуб Колас,1916,https://knihi.com/Jakub_Kolas/Daroha_ad_kurhana.html,"Ад кургана да кургана,


Ад гаю да гаю


У пяць нітак легла цьмяна


Дарога крывая.


 


То лясок, то луг, то поле,


То лужок зялёны...


Эх, прастор!  Эх, воля, воля


І балот разгоны!


 


І куды бяжыш, дарога,


Тканка ног і кола?


Ды маўчыць пуцінка строга,


Не гавораць долы.


 


 


Ну што ж? Далей, гайда далей,


За узгоркі тыя!


Не стрымацца нам:  мы — хвалі


Ціхія рачныя."
Чуваць вясна,Якуб Колас,1938,https://knihi.com/Jakub_Kolas/Cuvac_viasna.html,"Не сышлі яшчэ з нізіны


Роспісы зімы,


Скуты холадам даліны,


Луг ляжыць нямы.


 


Але зрок нябёс яснее,


Больш і больш святла,


Жыватворчая надзея


Землю абняла.


 


Белы пух атрэслі з шапак


Хвойнікі, ляскі,


А іх зацішкі, як запек,


Туляць дол, пяскі.


 


Лашчыць сонца твар узгоркаў,


Сушыць след іх слёз,


Што струменяцца разоркай


Да знямелых лоз.


 


Па-над лесам ходзіць шолам —


Хмельны зоў вясны,


І разліты навакола


Жыцця мары-сны.


 


Весялей у вочы свету


Зораць стрэхі хат.


Эй, калгаснік, помні лета,


Варушыся, брат!


У надземʼі, як жалейка,


Сонцу ў лад і ў тон


Сыпле птушка-чарадзейка


Першых песень звон."
Пахмелле,Якуб Колас,1911,https://knihi.com/Jakub_Kolas/Pachmielle.html,"– Годзе, жонка! Ну, не лайся:


Больш гарэлкі ані ў зуб!


Калі выпʼю,— ну, хоць кроплю,—


Бі мяне, цягай за чуб!


Сам, нябож, я добра знаю,


Што з гарэлкі свет гарыць...


Тфу, паскудства! Тфу, брыдота!


Хоць зарэж,— не буду піць!


 


Так прад жонкай спавядаўся


После выпіўкі Тарас:


— Ну, на гэты раз павер мне —


Каб я жыў — апошні раз!


 


— Ой, не раз я гэта чую!


Заракалася свіння


За вугол хадзіць, Тарасе,—


І табе не веру я!


 


— Ты не верыш? Эх, Марылька!


Хочаш? Я іду ў заклад?


Залажэмся на цікавасць:


Ты прайграеш, як Бог свят!..


 


Тфу! пад грудзі падпірае!


Кішкі зблытаны ў камяк,


Ну, а ў роце, каб ты знала —


Фэ, які нядобры смак!


 


Галава ж, як малатарня,


Або хто завёў там млын.


А ўсё Грышка, недавярак,


Каб ён спух, сабачы сын!


 


Як прусак, што зʼеў бураксы,


Ходзіць, плёвае, бядак,


І да жонкі падыходзіць:


— Ссе вантробы мне чарвяк.


 


Слухай, золатка-галубка, —


Стаў пакорненькі Тарас,


— Прынясі апахмяліцца —


Каб я жыў — астатні раз!"
Старыя песні,Якуб Колас,1914,https://knihi.com/Jakub_Kolas/Staryja_piesni.html,"Скарга нязменная, гора нязбытае...


Голь змардаваная, голь неакрытая,


Бедная, цёмная голь!


Чуецца ўсюды тваё нараканне,


Нездаваленне, жальба і стагнанне —


Душу ахватвае боль.


 


Стогне з табою і даль сіратлівая,


Ціш гэта немая, доля маўклівая,


Гоні, разлогі палёў...


 


Чым жа пацешыць вас, людзі пакутныя?


Як разагнаці вам думкі ўсе смутныя?


Гора ж не сціхне ад слоў!"
Роднаму краю,Якуб Колас,1943,https://knihi.com/Jakub_Kolas/Rodnamu_kraju_jasnazorki.html,"Мой край ясназоры! Прайшоў ты нямала


Шырокіх і вузкіх дарог.


І смутак, і гора цябе абнімала,


Ды ты іх пазбыў, перамог.


 


  Ішлі мы ў прасторы шырокай пуцінай,


Як сейбіты згоды, дабра;


 


Свяцілася неба над полем, далінай,


У іскрах світання — зара.


 


Купаліся далі ў ласкавай сінечы,


                Нас вабілі новыя дні.


Зямля разгарнула магутныя плечы,


Прасторы, куды ні зірні.


 


Гайдаліся пожні, як хвалі на ветры,


Сады маладыя цвілі,


І сталі балотныя дзікія нетры


Дзівотамі новай зямлі.


 


І новыя песні ў народзе звінелі,


Як голас юначкі-вясны,


І засевы шчасця вакол зарунелі —


                Збываліся мары і сны.


 


Ды хлынула плойма грабежнікаў дзікіх,


Разбурыла, край мой, цябе,


І вецер сягоння пад стогны і крыкі


Сумуе з табою ў журбе.


 


Мой край ясных даляў! У дзень навагодні


Прымі з пажаданнем прывет,


Каб сонца і зоры з глыбіняў усходніх


Свяцілі святлом добрых лет;


 


Каб трупамі леглі ўсе псы-душагубы,


                Фашысцкі звярыны бярлог;


Каб подлыя каты, як іхнія кубэ,


У дом свой не мелі дарог.


 


Мой край яснавокі і вы, людзі-брацці!


Распалім жа помсты пажар,


Фашысцкую погань, народаў пракляцце,


Зніштожым, як гадаў-пачвар."
Найдаражэйшы падарунак,Якуб Колас,1953,https://knihi.com/Jakub_Kolas/Najdarazejsy_padarunak.html,"Мне ўнукі дзеда Талаша


Прыслалі падарунак...


О Беларусь! ты – сэрца і душа,


Нутра зямлі багаты клунак.


Ці думаў хто калі, ці сніў,


Што край наш так багаты!


І золата мы возьмем з ніў,


І нафта родная сагрэе хаты!"
Надрывайся і шумі...,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Nadryvajsia_i_sumi.html,"Надрывайся і шумі,


Вецер злосны, ў полі!


Як сярдзіта ты ні дзьмі,


Ні гуляй на волі;


 


Як дарог ні замятай


І глухіх трапінак;


Як ты злосна ні спявай


Мужыку ў камінак,—


 


Ўсё ж ты сціхнеш, і цяплом


Скора ты павееш,


І з ракітавым кустом


Міла задурэеш."
Кветка,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Kvietka.html,"За агарожаю перад астрогам


Ў ціхім куточку адна


Кветка красуе на грунце убогім,


Хораша ззяе яна.


Двор непрытульны і глеба пясчана,


Грунт весь убіты, як ток.


Сонца не свеціць скрозь шчэлін паркана,


Выдзьмухаў вецер весь сок...


Белая крошка роскаю Божай


Чыста абмыта, зяхціць.


Рад любавацца я кветкай прыгожай,—


Міла яна так глядзіць.


Мне ўспамінаюцца вобразы мілыя


Роднага краю, палёў,


Бедныя вёскі, хаты пахілыя,


Песні зялёных гаёў;


Вузкія стужкі меж зеляненькіх,


Жыта палоска, лянок...


Рэчы пявучыя нівы благенькай,


Ўзгорак, курганчык, лясок.


Толькі ж мне шкода кветкі: сіроткай


Ціха схілілась яна


За агарожаю, як за рашоткай,


Сонцу, людзям не відна...


Мілая кветка, дзіцятка поля,


Межы зялёнай убор!


Як ты папалася з волі ў няволю?


Як заняслася на двор?"
Вясна,Якуб Колас,1907,https://knihi.com/Jakub_Kolas/Viasna_pryjdzie.html,"Вясна прыйдзе, снег пагіне,


Вышэй сонца хадзіць стане,


Промень ясны ўсюды кіне,


Рунь падыме на паляне.


 


З гор пальюцца перавалы,


Раскуюцца рэчкі з шумам,


Выйдзе з хаты стар і малы


Гаманліва дружным тлумам.


 


Убярэцца лес бязлісты


У гарнітур свой зялёны,


Шугне вырай галасісты,


Камары забʼюць у звоны.


 


Зашуміць трава густая,


Кветкі ў лузе засмяюцца.


Вясна прыйдзе маладая,


Ўсюды песні панясуцца."
Скора ў полі забушуе...,Якуб Колас,1909,https://knihi.com/Jakub_Kolas/Skora_u_poli_zabusuje.html,"Скора ў полі забушуе,


Песню сівер запяе,


Ўсе дарожкі зараўнуе,


Гурбы снегу нанясе.


 


Ўсё змяшаецца ў тумане,


Ў белым попеле снягоў.


Сумна вецер плакаць стане


Над будынкам мужыкоў.


 


Я ж люблю той свіст у полі,


Як вакол усё дрыжыць —


На спатканне песням волі


Дух мой рвецца і ляціць."
На дарозе,Якуб Колас,1912,https://knihi.com/Jakub_Kolas/Na_darozie.html,"Не крычы, пан: «Прэч з дарогі!»


Што з таго, што я мужык?


А ўжо гнуцца, як убогі,


І я, бачыш ты, адвык.


 


Не адзін ты гонар маеш,


І ў мяне ён трохі ёсць;


Дык дарма ты, пан, гукаеш —


Я табе больш не «псякосць».


 


Мы калісь былі не тыя,


Панавалі тады вы,


А цяпер гадкі другія —


Спаў ланцуг той векавы,


 


На якім вы нас трымалі.


Ведай гэта і не злуй:


Мы вас доўга «шанавалі»,


Цяпер ты нас пашануй."
Савецкія дні,Якуб Колас,1952,https://knihi.com/Jakub_Kolas/Savieckija_dni.html,"Дні нашы – магутныя хвалі,


Што нас узнімаюць у высі,


І новыя пішуць скрыжалі,


Каб праўда і мір абняліся;


 


Каб зніклі крывавыя войны


І згінулі чорныя сілы –


Той зброд міжнародны разбойны,


Што з людства выцягвае жылы.


 


Няхай жа красуе, буйнее


        Той засеў, што Ленін засеяў –


Усіх паднявольных надзея


І кара для ўсіх ліхадзеяў!


 


Няхай жа цудоўнае слова,


Што з партыі вуснаў зыходзіць,


Свет перабудуе нанова


І новую праўду народзіць.


 


Няхай жа рассунуць граніцы


Па свеце ад краю да краю


Савецкія нашы зарніцы


          І партыі словам вянчаюць!"
Шалёнага пса — на ланцуг!,Якуб Колас,1941,https://knihi.com/Jakub_Kolas/Salonaha_psa_-_na_lancuh.html,"Дык так, пачалося. Забойца ў паходзе,


І спушчаны псы з ланцугоў.


У грознай навале, у цяжкай прыгодзе


Больш мірных няма берагоў.


  Да зброі, народы раскутай краіны:


Разбойнік штурмуе наш дом!


Магутнаю раццю, патокам адзіным


Абрушым на ворага гром!


Той мусіць загінуць, хто меч узнімае


На голавы мірных трудзяг.


Няхай жа агорне ноч цёмна-нямая


Падступных падлюг і туляг!


Дык чуйце, народы: ў паход на бандыта,


На меч перакуйце ваш плуг.


Захочам — і Гітлер, як пёс, будзе біты:


Шалёнага пса — на ланцуг!"
Да выбараў па Сталінскай Канстытуцыі,Якуб Колас,1937,https://knihi.com/Jakub_Kolas/Da_vybarau_pa_Stalinskaj_Kanstytucyi.html,"Я за тых падам свой голас,


Хто працуе чэсна, дбала,


Хто кладзе трудоў нямала,


Каб жыццё закрасавала,


Як дзянніца мая;


Хто, адмёўшы твань старую,


Ідзе ў далеч маладую,


Хто гартуе баявую


Моц нашаму краю ;


Хто ў час кожны і хвіліну


Стаць гатовы за айчыну,


Каб зламаць хрыбет змяіны


Шкоднікам і гадам;


Хто на полі, на заводзе,


Як вясенняе разводдзе,


У стаханаўскім паходзе


Ідзе новым ладам, —


Я за іх падам свой голас."
"Люд стогне, гаруе пад цяжарам меча...",Якуб Колас,1917,"https://knihi.com/Jakub_Kolas/Lud_stohnie,_haruje_pad_ciazaram_mieca.html","Люд стогне, гаруе пад цяжарам меча,


Скаваў яго сэрца гарачае лёд.


Адкрыты дарогі табе, чалавеча,


На поўдзень, на захад, на ўсход.


 


Ты вольны, нябога, ідзі куды хочаш,


Ты можаш ярэмʼе пабіць.


І чуткія вушы, арліныя вочы,


І сэрца ты маеш любіць.


 


Вы ж збіліся з сцежкі, вас ноч ахапіла,


Арліныя вочы патухлі у вас,


Вас водзіць у полі нячыстая сіла,


Агонь ваш у сэрцы пагас.


Аб чым жа сумуеш, народ неспакойны?


Акінь сваім вокам прыгожую даль,


Ахамяніся, будзь волі дастойны,


І радасць пазнаеш, адкінеш ты жаль…"
Жніво,Якуб Колас,1908,https://knihi.com/Jakub_Kolas/Znivo.html,"Рэдкае збожжа, травы палавіна,


Колас не гнецца зярном да зямлі.


Знаць, нешчасліва была та часіна,


Як кідалі зерне сяўцы па раллі.


 


Выйшлі на поле вось жнеі з сярпамі,


Ў лапцях лазовых, а хто без лапцей;


Ніва пустымі шуміць каласамі,


Ніва не цешыць жаночых вачэй.


 


Цяжка ўздыхнуўшы, збанкі пастаўлялі,


Клункі на межы паклалі жанкі.


Бабы старыя свой твар пажагналі,


Моўчкі за працу ўзяліся дзяўкі.


 


Горача ў полі. Эх, жар дакучае,


Праца марудна, бясконца цяжка!


Спіну і плечы ім боль адбірае,


Аж дзервянее у жнеек рука.


 


Збэрсана жыта, чапляецца колас;


Жменю нажне – разагнецца жняя,


Жыта паложыць на скручаны пояс...


Цяжкая, жнейка, работа твая!


 


Ціха на полі у поўдзень гарачы!


Хоць бы дзе кусціка рэдзенькі цень.


Толькі ў калысцы плач чуеш дзіцячы,


Толькі над вухам звініць авадзень..."
Петрусю Броўку,Якуб Колас,1951,https://knihi.com/Jakub_Kolas/Pietrusiu_Brouku_pamianu.html,"Памяну шчырым словам Пятруся –


Петрусёк-галубок, пабажуся,


Што і сэрца маё і душа мая ўся,


Ну, ляжыць да цябе, Петруся.


І люблю я цябе, паважаю.


Няхай будзе ў паэзіі больш ураджаю!


 


Дружна ў ногу з табой мы ішлі,


Як сябры, хоць не роўныя ў годах.


І як добрыя дзеці зямлі,


        Адно мелі, браток, у прыгодах:


 


Яшчэ далей, глыбей і гучней


Пашыраць нашу праўду па свеце –


Верны ленінскай партыі рэй


Зацвярджаць, яго мець на мэце.


 


Дык працуй тры разы дваццаць пяць,


Не губляючы здольнасці, сілы,


І дазволь мне абняць, прывітаць,


Петрусёк дарагі мой і мілы."
Птушкі ў лесе шчабяталі...,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Ptuski_u_lesie_scabiatali.html,"Птушкі ў лесе шчабяталі,


Стукаў дзяцел і жаўна,


І пра шчасце нам казалі,


І ў душы была вясна...


А ў вясёлы вечар мая


Салавей ў гаі свістаў...


Ой, пара ты залатая!


Хто цябе не ўспамінаў?


 


А у небе, Божым полі,


Без сляда, за край зямлі,


Як бы думкі светлай долі,


Хмаркі белыя плылі.


 


Нам пра шчасце ўсё казала


На зары юначых дзён.


Дзе ты, шчасце, дзе прапала?


Дзе твой радасны палон?"
Бацьку Мінаю,Якуб Колас,1942,https://knihi.com/Jakub_Kolas/Backu_Minaju.html,"Паклон табе шчыры і нізкі,


Наш бацька Мінай.


Ты стаўся нам родны і блізкі:


Ты — гэта наш край.


 


Прываблівы, мудры, і скромны,


І стойкі, як дуб,


Той дуб-багатыр, што над Нёмнам


Узносіць свой чуб.


 


Не хіліцца дуб перад бурай,


        І ты не умлеў, —


Пазнала нямецкая скура,


Што значыць твой гнеў.


 


Адчулі нямецкія морды


Міная ў баю,


Удар твой, раптоўны і цвёрды,


І помсту тваю.


 


  Нявінных дзяцей тваіх родных


        Згубіў люты кат,


І вецер змёў попел халодны


        Ад спаленых хат.


 


Астаўся адзін ты, нябожа,


Без дзетак, сястры.


Туліла імшыстае ложа,


А грэлі кастры.


 


Я ведаю — цяжка, мой браце,


Зжыць раны той след


І ўсё дарагое растраціць


На схіле ўжо лет.


  Ты ж цяжкае гора адолеў,


        Не здрадзіў сябрам.


Сказаў ты, герой наш: «Ніколі


Сяброў не прадам».


 


Ты мужныя рукі і сэрца


Народу аддаў.


Смерць, смерць немчуры-крыважэрцам!


Згінь, Гітлер-удаў!


 


Дазволь жа сказаць табе шчыра:


        Жыві, наш Мінай.


Разгорнем рамёны мы шырай


        І вызвалім край."
На развітанні,Якуб Колас,1915,https://knihi.com/Jakub_Kolas/Na_razvitanni.html,"Вечарэла, і цішала,


І гушчалі цені.


Поле моўчкі пазірала,


Лес — у задуменні.


 


Той стары лес, праз каторы


Наша йшла дарога.


А над намі, на прасторы


Вольнага разлогу,


 


Леглі хмаркі самавіта


Доўгаю градою.


Смуткам даль была спавіта,


Як мы йшлі з табою.


 


Ўдоўж дарогі ў рад стаялі


Стромкія хваіны.


Не гайдаліся, маўчалі


Лапы іх, галіны.


 


Пастаялі, абняліся


Мы з табою ў лесе,


З горкім сумам разышліся


У густым навесе


 


Маладых ялін, і хвояў,


І бяроз пахучых.


Жаль расстання сэрца кроіў,


Горкі жаль, пякучы.


Я спыніўся. Сэрца млела.


Сцішна стала ў лесе,


Толькі лісце шапацела,


Як той дождж па стрэсе


 


Ў вечар восені пастылы,


Ў мрок спавіты, шэры,


Як знікаў твой вобраз мілы,


Дарагі без меры."
Не бядуй!,Якуб Колас,1907,https://knihi.com/Jakub_Kolas/Nie_biaduj.html,"Не бядуй, што сонца нізка,


Што прыходзіць нудны дзень,


Не бядуй, што восень блізка


І на дол кладзецца цень.


 


Не бядуй, што снег халодны


Скрые землю ад вачэй:


Не загіне край твой родны


У тэй цемені начэй!


 


Будзе час, і снег растане,


Прыйдзе зноў да нас вясна,


Ветла з неба сонца гляне,


Ачуняе старана.


 


Не бядуй, што цяжка стала


Жыць у вечнай цемнаце,


Што нас доля вечна гнала,


Што жывём у беднаце.


 


Не бядуй, што звіслі хмары,


Што нам сонца не відаць,


Не бядуй, што ўноч пажары


Сталі неба заліваць, –


 


Дымам пойдзе ўсё ліхое,


Усё, што душыць нас і гне.


Вер, брат, – жыцце залатое


Будзе ў нашай старане."
Сіла агітацыі,Якуб Колас,1928,https://knihi.com/Jakub_Kolas/Sila_ahitacyi.html,"I


 


Прыехаў у вёску таварыш з раёна,


Паклікаў на сходку сялян,


І доўга грымеў ён наконт самагона,


Як поп, настаўляў грамадзян.


 


І кідаў сталёвыя, палкія словы


Начальнік міліцыі Дрот.


Сяляне журботна хілілі галовы,


Глядзелі ўвесь час яму ў рот.


 


Натоўп адклікаўся часамі заўзята:


«Святая то праўда!» «Так! так!»


«Дурнота!» «Распуста!» «Дарэмная трата!»


«Свядомасці гэтае брак!»


 


І бачыць начальнік — узрушана глеба


У нетрах сялянскай душы.


У строгасцях гэтых не будзе патрэбы,


Капут самагону пішы!


 


Натхненне бурліць яшчэ з большаю сілай,


Сялян забірае ў палон...


Прамову закончыў канцоўкай завілай,


І грымнулі:  «Прэч самагон!»


 


Начальнік узрушан і пот выцірае,


Што выступіў бобам на лбе,


«Ну вось і дапета ты, песня старая!»


І сам усміхнуўся сабе.


 


 


 


II


 


Мітынг скончан. Разышліся.


І вачам не верыць Дрот:


Без прымусу, без камісій


«Апарат»  нясе  Хвядот!


 


Вось што значыць яно, слова,


І разумны падыход!


А Хвядот зірнуў сурова


І ступіў крок напярод.


 


Вочы зораць вінавата, —


Вось я грэшнік, моў, які!


Падыходзіць, як да брата,


Сам узрушаны такі.


 


Хвядот


 


Т<аварышч> начальнік! раскрыў цемнату ты:


Я — вінен!


Не трэба, не трэба, т<аварышч>, атруты!


Няхай жа ён спрахне ад гэтай мінуты


І згіне!


Страта дзяржаве, сабе небяспека,


Глум збожжа!


Але ж, сказаць, не было чалавека,


Нябожа,


Каб праўду раскрыць


І ўсё растлумачыць...


Няхай жа ён, дасць Бог, згарыць,


Няхай яго вочы не бачаць.


Праваліцца яму скрозь зямлю!


Убачу — сваімі рукамі зламлю


І будзь ён праклят! —


І вобземлю — гоп «апарат!»


 


 


III


 


У Дротавым сэрцы вялікае свята,


І хваліцца Дрот:


«Вось ён, разумны прыём дзе, рабята!


А прыклад — Хвядот!»


Ў Хвядотавым сэрцы таксама не будні.


Смяецца Хвядот:


«Стары ён быў, падла, хоць кідай у студню,


А новы ён — вот!


Прадукцыя вышай працэнтаў на сорак,


Спакой — на ўсе сто!


Тактыка, братцы, ядры яе корак,


Прыдумаў — нішто!


І носа сюды не паказвае болей —


Гані, брат, ваўсю!


Такое раздолле,


Як гразь карасю!»"
На восеньскі лад,Якуб Колас,1943,https://knihi.com/Jakub_Kolas/Na_vosienski_lad.html,"Травы пажоўклі. Падаюць лісці,


Туліцца вецер шчыльней да зямлі.


Шэпча ён кветкам: «Годзе вам цвісці!»


Лесу ён кажа: «Спачынь, задрамлі!»


 


Вецер, мой дружа, чую намёкі,


Хочаш і мне ты на вуха сказаць:


Блізка твой вечар, шлях недалёкі, —


Вузел апошні пара завязаць.


 


Вецер, мой браце, слухаць мне горка


Весці такія, што ты мне прынёс.


Хочацца верыць — выплыве зорка,


Выбʼецца з хмары на роўнядзь нябёс.


 


Можа я хворы, стомлен дарогай,


Цяжкай развагай прыгнечан, прыбіт, —


Спраўлюся, дружа, з млявай знямогай,


Будзе яшчэ плыць ён, мой плыт.


 


Ціхай дрымотай змораны горы,


Тоне ў сінечы арэхавы гай.


Годзе вас слухаць, сэрца дакоры,


Сэрца ж не хоча сказаці: «Бывай!»"
А. Луцкевічу,Якуб Колас,1927,https://knihi.com/Jakub_Kolas/A_Luckievicu.html,"Заціхала лета, засыхалі краскі,


А ў лясох у нашых воўк зубамі ляскаў.


 


Прала восень ніці, навівала кросны,


А па нашым полі гойсаў вецер злосны.


 


Пазіралі дзіка цёмныя трушчобы,


А па нашых хатах чуліся жалобы.


 


Замірала ж скарга, млелі ў вуснах словы –


Вартаваў нас пільна арол двухгаловы.


 


Ты ж, араты дбалы, малады, руплівы,


Выйшаў смела ўзорваць гоні «Нашай нівы».


 


А ты, сейбіт слаўны, шчыры і сумленны,


Сеяў шчодра поле, родны грунт каменны.


 


Зарунелі гоні засевам зычлівым,


Толькі ж ты, араты, ты ці быў шчаслівы?


 


Дзяўкалі сабакі, гракалі вароны,


Слугі цемры чорнай расцягалі плёны.


 


Шпегі і жандары, вобыскі, бадзянне,


Па глухіх закутках вечнае тулянне...


 


Ды арол драпежны з двума галавамі


Не ўсядзеў, скалоўся на тэй Вострай Браме.


 


Налучылі край наш іншыя два лёсы:


Запалілі ўсход наш залатыя косы,


 


Дзе ратаі вольна падымаюць ролі,


А на захад збегла панская сваволя.


 


Сеў на Вострай Браме панскі «ожэл» белы


І дзяўбе, як царскі, чалавечча цела...


 


Заціхае лета, засыхаюць травы,


А той «бялы ожэл» прагне царскай славы.


 


Бедны ж ты, араты, дружа, сейбіт дбалы,


Сеў табе на раме панскі «ожэл бялы».


 


Засеў твой зычлівы забіваюць церні.


Але й «ожэл бялы» галавой наверне."
Вячэрнія хмаркі,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Viacernija_chmarki.html,"Сонейка заходзіць,


І кладуцца цені,


І плывуць хмурынкі


Ў ціхім задуменні.


 


Белыя валокны


Сонейкам заліты.


Вольны ім дарогі,


Сцежкі ім адкрыты.


 


Хмаркі залатыя!


Вы — прастору дзеці,


Ходзіце вы вечна


Па ўсім белым свеце.


 


Праплывіце ж, хмаркі,


І над родным краем,


Над сялянскім полем,


Над зялёным гаем,


 


І заплачце, хмаркі,


Дробнымі слязамі


Над мужычай нівай,


  Над яго лугамі.


 


Загрымеце громам,


Стаўшы цёмнай хмурай.


Толькі ж не пабеце


Жыта градам, бурай.


 


Хмаркі залатыя,


Сонца, неба дзеці!


Вы прывет мой шчыры


Ў вёску занясеце."
